Name,Num Images,Num Correct,Accuracy
Ai_Sugiyama,5,5,1.0
Al_Sharpton,7,7,1.0
Alan_Mulally,2,2,1.0
Alberto_Fujimori,2,2,1.0
Allyson_Felix,5,5,1.0
Amanda_Beard,2,1,0.5
Amelia_Vega,7,7,1.0
Andy_Roddick,15,14,0.9333333333333333
Angela_Bassett,6,5,0.8333333333333334
Anthony_Hopkins,2,2,1.0
Antonio_Banderas,5,5,1.0
Arianna_Huffington,4,4,1.0
Aron_Ralston,2,2,1.0
Ashton_Kutcher,3,3,1.0
Barbra_Streisand,3,3,1.0
Ben_Howland,4,4,1.0
Bill_Belichick,2,2,1.0
Bill_Parcells,2,2,1.0
Billy_Crystal,6,5,0.8333333333333334
Blythe_Danner,2,2,1.0
Bo_Pelini,2,2,1.0
Bo_Ryan,2,2,1.0
Bob_Huggins,4,4,1.0
Bob_Stoops,7,7,1.0
Boris_Becker,6,6,1.0
Boris_Berezovsky,2,2,1.0
Brad_Garrett,4,4,1.0
Brian_Cowen,2,2,1.0
Britney_Spears,14,13,0.9285714285714286
Byron_Scott,2,2,1.0
Calista_Flockhart,6,5,0.8333333333333334
Carlo_Ancelotti,3,3,1.0
Carly_Fiorina,3,2,0.6666666666666666
Carrie-Anne_Moss,5,4,0.8
Carson_Daly,2,2,1.0
Cecilia_Bolocco,3,2,0.6666666666666666
Charlotte_Rampling,2,2,1.0
Christian_Wulff,2,2,1.0
Christine_Ebersole,2,2,1.0
Cindy_Margolis,2,2,1.0
Ciro_Gomes,5,5,1.0
Claire_Danes,3,3,1.0
Claudia_Schiffer,3,3,1.0
Colin_Farrell,9,8,0.8888888888888888
Colin_Montgomerie,5,5,1.0
Cristina_Saralegui,2,2,1.0
Daisy_Fuentes,4,4,1.0
David_Beckham,31,29,0.9354838709677419
David_Caruso,3,3,1.0
David_Coulthard,2,2,1.0
David_Spade,2,2,1.0
David_Stern,4,4,1.0
Debra_Messing,3,2,0.6666666666666666
Demi_Moore,4,3,0.75
Denzel_Washington,5,5,1.0
Diana_Krall,6,5,0.8333333333333334
Dominique_de_Villepin,15,13,0.8666666666666667
Donatella_Versace,3,3,1.0
Drew_Barrymore,2,2,1.0
Dwayne_Johnson,2,2,1.0
Edie_Falco,2,2,1.0
Edward_Norton,2,2,1.0
Elizabeth_Hurley,5,3,0.6
Elizabeth_Smart,5,4,0.8
Elvis_Presley,2,2,1.0
Emma_Thompson,3,3,1.0
Erika_Christensen,2,2,1.0
Frances_Fisher,2,1,0.5
George_Pataki,5,5,1.0
Halle_Berry,16,14,0.875
Harvey_Weinstein,2,2,1.0
Hassan_Nasrallah,2,2,1.0
Heather_Mills,4,4,1.0
Heidi_Fleiss,4,4,1.0
Heidi_Klum,5,5,1.0
Henrique_Meirelles,2,2,1.0
Holly_Hunter,7,6,0.8571428571428571
Ian_McKellen,3,3,1.0
Isabella_Rossellini,3,3,1.0
Isaiah_Washington,2,2,1.0
Jack_Straw,28,28,1.0
Jacques_Rogge,10,10,1.0
Jada_Pinkett_Smith,2,2,1.0
James_Cameron,3,0,0.0
James_Franco,2,2,1.0
Jan_Ullrich,6,6,1.0
Jane_Kaczmarek,2,2,1.0
Janet_Napolitano,4,4,1.0
Jason_Kidd,10,9,0.9
Jay_Leno,3,3,1.0
Jean-Claude_Juncker,2,2,1.0
Jean-Pierre_Raffarin,7,7,1.0
Jean_Charest,17,16,0.9411764705882353
Jennifer_Capriati,42,42,1.0
Jesse_Jackson,9,9,1.0
Jessica_Lange,2,2,1.0
Jim_Furyk,6,6,1.0
Joan_Laporta,9,9,1.0
Jodie_Foster,3,3,1.0
Joe_Calzaghe,2,1,0.5
John_Cusack,2,2,1.0
John_Kerry,17,17,1.0
John_Travolta,7,6,0.8571428571428571
Johnny_Depp,2,1,0.5
Jon_Voight,3,3,1.0
Joseph_Estrada,4,4,1.0
Jude_Law,2,2,1.0
Judi_Dench,2,2,1.0
Julianna_Margulies,2,1,0.5
Julie_Taymor,2,2,1.0
Justin_Gatlin,2,2,1.0
Justin_Guarini,3,3,1.0
Justine_Henin,3,3,1.0
Kate_Hudson,9,9,1.0
Kathryn_Bigelow,2,2,1.0
Kevin_Costner,8,7,0.875
Kim_Clijsters,14,14,1.0
Kobe_Bryant,3,3,1.0
Kristanna_Loken,5,4,0.8
Kristin_Davis,3,3,1.0
Laura_Linney,4,4,1.0
Laurent_Jalabert,2,2,1.0
LeAnn_Rimes,2,2,1.0
LeBron_James,5,3,0.6
Leander_Paes,2,2,1.0
Lennox_Lewis,3,3,1.0
Lisa_Ling,2,2,1.0
Lisa_Marie_Presley,4,4,1.0
Lleyton_Hewitt,41,41,1.0
Madeleine_Albright,3,3,1.0
Marcelo_Salas,3,3,1.0
Marisa_Tomei,2,2,1.0
Martina_McBride,5,4,0.8
Mary_Carey,4,4,1.0
Mary_Steenburgen,3,3,1.0
Matt_Damon,4,4,1.0
Melissa_Etheridge,2,2,1.0
Michael_Ballack,3,3,1.0
Michael_Bloomberg,20,20,1.0
Michael_Chiklis,5,5,1.0
Michael_Jackson,12,12,1.0
Michael_Keaton,2,2,1.0
Michael_Phelps,5,5,1.0
Michael_Schumacher,18,16,0.8888888888888888
Michel_Temer,2,1,0.5
Michel_Therrien,2,2,1.0
Michelle_Collins,2,0,0.0
Michelle_Rodriguez,2,2,1.0
Mick_Jagger,5,5,1.0
Mike_Brey,2,2,1.0
Mike_Miller,2,2,1.0
Mike_Tyson,4,4,1.0
Minnie_Driver,2,2,1.0
Monica_Lewinsky,3,3,1.0
Monica_Seles,6,6,1.0
Nancy_Pelosi,15,14,0.9333333333333333
Naomi_Watts,22,21,0.9545454545454546
Natalie_Coughlin,6,6,1.0
Natalie_Maines,5,5,1.0
Nathalie_Baye,4,3,0.75
Nathan_Lane,2,2,1.0
Noah_Wyle,3,3,1.0
Oprah_Winfrey,4,4,1.0
Orlando_Bloom,3,2,0.6666666666666666
Oscar_De_La_Hoya,7,7,1.0
Owen_Wilson,2,2,1.0
Ozzy_Osbourne,3,1,0.3333333333333333
Pascal_Lamy,2,2,1.0
Paul_McCartney,7,5,0.7142857142857143
Paula_Zahn,2,2,1.0
Penelope_Ann_Miller,2,2,1.0
Pete_Carroll,3,3,1.0
Pete_Rose,2,2,1.0
Phil_Mickelson,2,2,1.0
Priscilla_Presley,2,2,1.0
Rachel_Griffiths,3,3,1.0
Rachel_Hunter,4,4,1.0
Ralf_Schumacher,8,6,0.75
Ralph_Klein,2,1,0.5
Raquel_Welch,2,2,1.0
Ray_Romano,9,9,1.0
Richard_Armitage,9,0,0.0
Rick_Carlisle,4,4,1.0
Rick_Perry,6,6,1.0
Rick_Pitino,4,4,1.0
Ricky_Ponting,2,2,1.0
Rio_Ferdinand,2,1,0.5
Rita_Wilson,4,4,1.0
Rob_Lowe,4,4,1.0
Rob_Schneider,2,1,0.5
Robert_De_Niro,6,5,0.8333333333333334
Robert_Redford,8,8,1.0
Rod_Stewart,3,3,1.0
Roger_Federer,14,14,1.0
Rolandas_Paksas,2,2,1.0
Roseanne_Barr,3,3,1.0
Ruben_Studdard,2,2,1.0
Rubens_Barrichello,12,12,1.0
Rupert_Grint,3,3,1.0
Russell_Crowe,2,1,0.5
Russell_Simmons,5,5,1.0
Sadie_Frost,3,3,1.0
Sarah_Jessica_Parker,6,5,0.8333333333333334
Sean_Hayes,2,2,1.0
Sepp_Blatter,4,4,1.0
Sharon_Osbourne,3,3,1.0
Sharon_Stone,5,5,1.0
Simon_Cowell,2,2,1.0
Sophia_Loren,7,6,0.8571428571428571
Sourav_Ganguly,5,4,0.8
Stefano_Accorsi,2,2,1.0
Steve_Ballmer,3,3,1.0
Stockard_Channing,3,3,1.0
Susan_Sarandon,6,5,0.8333333333333334
Sylvester_Stallone,9,8,0.8888888888888888
Taufik_Hidayat,3,3,1.0
Theo_Epstein,2,2,1.0
Tiger_Woods,23,21,0.9130434782608695
Tim_Duncan,4,4,1.0
Toni_Braxton,3,3,1.0
Tony_Shalhoub,4,4,1.0
Tony_Stewart,6,3,0.5
Tracy_McGrady,2,2,1.0
Tyler_Hamilton,2,2,1.0
Valerie_Harper,2,2,1.0
Vanessa_Incontrada,4,4,1.0
Venus_Williams,17,17,1.0
Vicente_Fox,32,31,0.96875
Vince_Gill,2,2,1.0
Vitali_Klitschko,4,4,1.0
Xavier_Malisse,5,5,1.0
Zinedine_Zidane,6,6,1.0
